id,name,description,difficulty_order,created_at
1,A1,Beginner,1,2025-12-16 01:00:29.546224+00
2,A2,Elementary,2,2025-12-16 01:00:29.546224+00
3,B1,Intermediate,3,2025-12-16 01:00:29.546224+00
4,B2,Upper Intermediate,4,2025-12-16 01:00:29.546224+00
5,C1,Advanced,5,2025-12-16 01:00:29.546224+00
